Genre,Publisher,Rating,Greatest_Sales
Role-Playing,Enix Corporation,?,JP
Action,Sony Computer Entertainment,M,NA
Misc,Nintendo,E10+,NA
Sports,Activision,T,NA
Sports,Konami Digital Entertainment,E,JP
Role-Playing,Take-Two Interactive,M,NA
Adventure,Nintendo,?,JP
Shooter,Activision,M,EU
Role-Playing,Bethesda Softworks,M,NA
Racing,Electronic Arts,T,EU
Misc,Ubisoft,E10+,NA
Shooter,Sony Computer Entertainment,M,Other
Platform,Sega,?,NA
Role-Playing,Square Enix,E10+,JP
Shooter,Activision,M,NA
Shooter,Atari,?,NA
Sports,Electronic Arts,E,EU
Role-Playing,Microsoft Game Studios,M,NA
Action,Eidos Interactive,T,Other
Misc,Namco Bandai Games,E,NA
Action,Konami Digital Entertainment,M,Other
Sports,Electronic Arts,E,EU
Action,Ubisoft,M,EU
Platform,Sony Computer Entertainment,E10+,Other
Strategy,Activision,?,EU
Sports,Electronic Arts,E,EU
Misc,Sony Computer Entertainment,E,EU
Action,Ubisoft,M,NA
Racing,Sony Computer Entertainment,E,EU
Sports,Electronic Arts,?,EU
Action,Palcom,?,NA
Fighting,Capcom,T,JP
Racing,Nintendo,?,JP
Action,Hasbro Interactive,?,NA
Sports,Electronic Arts,E,NA
Role-Playing,Namco Bandai Games,M,EU
Shooter,Vivendi Games,M,NA
Platform,Nintendo,?,JP
Sports,Electronic Arts,?,EU
Fighting,Capcom,?,JP
Action,Ubisoft,M,EU
Role-Playing,Activision,T,NA
Action,Warner Bros. Interactive Entertainment,M,Other
Action,Sony Computer Entertainment,M,Other
Shooter,Ubisoft,M,EU
Role-Playing,Bethesda Softworks,M,NA
Sports,Konami Digital Entertainment,E,JP
Misc,Take-Two Interactive,E,NA
Racing,Microsoft Game Studios,E,NA
Misc,Sony Computer Entertainment,?,NA
Fighting,Namco Bandai Games,T,EU
Shooter,Nintendo,?,NA
Sports,Nintendo,?,JP
Shooter,Ubisoft,M,EU
Action,Ubisoft,M,EU
Misc,Namco Bandai Games,E10+,Other
Shooter,Electronic Arts,M,NA
Role-Playing,Bethesda Softworks,M,Other
Action,Nintendo,E10+,NA
